"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"5763";"Nike V2k II";"Nike";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0795.jpg";"";"0";"";"Cali Pedidos"
"5764";"Nike V2k II";"Nike";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0796.jpg";"";"0";"";"Cali Pedidos"
"5765";"Nike V2k II";"Nike";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0797.jpg";"";"0";"";"Cali Pedidos"
"5766";"SUMBAWA STORE";"";"Hombre";"";"100000";"0";"40-44";"IMG-20260330-WA0801.jpg";"";"0";"";"SUMBAWA"
"5767";"SUMBAWA STORE";"";"Hombre";"";"100000";"0";"40-44";"IMG-20260330-WA0802.jpg";"";"0";"";"SUMBAWA"
"5768";"SUMBAWA STORE";"";"Hombre";"";"100000";"0";"40-44";"IMG-20260330-WA0803.jpg";"";"0";"";"SUMBAWA"
"5769";"SUMBAWA STORE";"";"Hombre";"";"95000";"0";"40-44";"IMG-20260330-WA0804.jpg";"";"0";"";"SUMBAWA"
"5770";"SUMBAWA STORE";"";"Hombre";"";"95000";"0";"40-44";"IMG-20260330-WA0805.jpg";"";"0";"";"SUMBAWA"
"5771";"SUMBAWA STORE";"";"Hombre";"";"95000";"0";"40-44";"IMG-20260330-WA0806.jpg";"";"0";"";"SUMBAWA"
"5772";"SUMBAWA STORE";"";"Hombre";"";"95000";"0";"40-44";"IMG-20260330-WA0807.jpg";"";"0";"";"SUMBAWA"
"5773";"SUMBAWA STORE";"";"Hombre";"";"95000";"0";"40-44";"IMG-20260330-WA0808.jpg";"";"0";"";"SUMBAWA"
"5774";"SUMBAWA STORE";"";"Hombre";"";"95000";"0";"40-44";"IMG-20260330-WA0809.jpg";"";"0";"";"SUMBAWA"
"5775";"SUMBAWA STORE";"";"Hombre";"";"90000";"0";"40-44";"IMG-20260330-WA0810.jpg";"";"0";"";"SUMBAWA"
"5776";"SUMBAWA STORE";"";"Mujer";"";"90000";"0";"36-44";"IMG-20260330-WA0811.jpg";"";"0";"";"SUMBAWA"
"5777";"SUMBAWA STORE";"";"Hombre";"";"90000";"0";"40-44";"IMG-20260330-WA0812.jpg";"";"0";"";"SUMBAWA"
"5778";"Diesel";"";"Hombre";"";"95000";"0";"40";"IMG-20260325-WA0718.jpg";"";"0";"";"Cali Pedidos"
"5779";"Diesel";"";"Hombre";"";"95000";"0";"40";"IMG-20260325-WA0721.jpg";"";"0";"";"Cali Pedidos"
"5780";"Diesel";"";"Hombre";"";"95000";"0";"40";"IMG-20260325-WA0720.jpg";"";"0";"";"Cali Pedidos"
"5781";"Diesel";"";"Hombre";"";"95000";"0";"40";"IMG-20260325-WA0719.jpg";"";"0";"";"Cali Pedidos"
"5782";"Adidas SL72";"Adidas";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0813.jpg";"";"0";"";"Cali Pedidos"
"5783";"Adidas SL72";"Adidas";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0814.jpg";"";"0";"";"Cali Pedidos"
"5784";"Adidas SL72";"Adidas";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0815.jpg";"";"0";"";"Cali Pedidos"
"5785";"Adidas SL72";"Adidas";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0816.jpg";"";"0";"";"Cali Pedidos"
"5786";"Adidas SL72";"Adidas";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0817.jpg";"";"0";"";"Cali Pedidos"
"5787";"Adidas SL72";"Adidas";"Mujer";"";"95000";"0";"5";"IMG-20260330-WA0818.jpg";"";"0";"";"Cali Pedidos"
