"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"27749";"LECOQ SPORTIF CABALLERO";"";"Hombre";"";"90000";"0";"1370";"IMG-20260610-WA1681.jpg";"";"0";"";"SUMBAWA"
"27750";"LECOQ SPORTIF CABALLERO";"";"Hombre";"";"90000";"0";"1367";"IMG-20260610-WA1682.jpg";"";"0";"";"SUMBAWA"
"27751";"LECOQ SPORTIF CABALLERO";"";"Hombre";"";"90000";"0";"1516";"IMG-20260610-WA1683.jpg";"";"0";"";"SUMBAWA"
"27752";"LECOQ SPORTIF CABALLERO";"";"Hombre";"";"90000";"0";"1341";"IMG-20260610-WA1684.jpg";"";"0";"";"SUMBAWA"
"27753";"LECOQ SPORTIF CABALLERO";"";"Hombre";"";"90000";"0";"1366";"IMG-20260610-WA1685.jpg";"";"0";"";"SUMBAWA"
"27754";"LECOQ SPORTIF CABALLERO";"";"Hombre";"";"90000";"0";"1517";"IMG-20260610-WA1686.jpg";"";"0";"";"SUMBAWA"
"27755";"PUMA RYDER V3 CABALLERO";"";"Hombre";"";"85000";"0";"1505";"IMG-20260610-WA1687.jpg";"";"0";"";"SUMBAWA"
"27756";"PUMA RYDER V3 CABALLERO";"";"Hombre";"";"85000";"0";"1503";"IMG-20260610-WA1688.jpg";"";"0";"";"SUMBAWA"
"27757";"PUMA RYDER V3 CABALLERO";"";"Hombre";"";"85000";"0";"1504";"IMG-20260610-WA1689.jpg";"";"0";"";"SUMBAWA"
"27758";"PUMA RYDER V3 DAMA";"";"Mujer";"";"85000";"0";"1506";"IMG-20260610-WA1690.jpg";"";"0";"";"SUMBAWA"
"27759";"PUMA RYDER V3 DAMA";"";"Mujer";"";"85000";"0";"1507";"IMG-20260610-WA1691.jpg";"";"0";"";"SUMBAWA"
"27760";"TIMBERLAND CABALLERO";"";"Hombre";"";"105000";"0";"41-44";"IMG-20260610-WA1692.jpg";"";"0";"";"SUMBAWA"
"27761";"TIMBERLAND DAMA";"";"Mujer";"";"105000";"0";"36";"IMG-20260610-WA1693.jpg";"";"0";"";"SUMBAWA"
"27762";"PUMA PARK DAMA";"";"Mujer";"";"90000";"0";"1515";"IMG-20260610-WA1694.jpg";"";"0";"";"SUMBAWA"
"27763";"PUMA PARK DAMA";"";"Mujer";"";"90000";"0";"1514";"IMG-20260610-WA1695.jpg";"";"0";"";"SUMBAWA"
"27764";"PUMA PARK DAMA";"";"Mujer";"";"90000";"0";"1511";"IMG-20260610-WA1696.jpg";"";"0";"";"SUMBAWA"
"27765";"ADIDAS CAMPUS DAMA";"";"Mujer";"";"80000";"0";"1512";"IMG-20260610-WA1697.jpg";"";"0";"";"SUMBAWA"
"27766";"ADIDAS CAMPUS DAMA";"";"Mujer";"";"80000";"0";"1513";"IMG-20260610-WA1698.jpg";"";"0";"";"SUMBAWA"
"27767";"NIKE SB LOW CABALLERO";"";"Hombre";"";"90000";"0";"1519";"IMG-20260610-WA1699.jpg";"";"0";"";"SUMBAWA"
"27768";"NIKE SB LOW TRAVIS CABALLERO";"";"Hombre";"";"90000";"0";"1518";"IMG-20260610-WA1700.jpg";"";"0";"";"SUMBAWA"
"27769";"HUGO BOSS CABALLERO";"";"Hombre";"";"90000";"0";"1502";"IMG-20260610-WA1701.jpg";"";"0";"";"SUMBAWA"
"27770";"HUGO BOSS CABALLERO";"";"Hombre";"";"90000";"0";"1501";"IMG-20260610-WA1702.jpg";"";"0";"";"SUMBAWA"
"27771";"VANS HYLANE CABALLERO";"";"Hombre";"";"85000";"0";"1497";"IMG-20260611-WA2005.jpg";"";"0";"";"SUMBAWA"
